Mass (kg),Mass (kg),Mass (kg),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (10^6 km),Perihelion (10^6 km),Aphelion (10^6 km),Semi-Major Axis (10^6 km),Orbital Period (days),Orbital Velocity (km/s),Mass (kg),Mass (kg),Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
nan kg,3.3e+23 kg,4879.0 kg,5429,3.7,4.3,1407.6,4222.6,57.9,46.0,69.8,57.9,88.0,47.4,7.0 kg,0.206 kg,0.034,167,0.0,0,,
nan kg,4.87e+24 kg,12104.0 kg,5243,8.9,10.4,-5832.5,2802.0,108.2,107.5,108.9,108.2,224.7,35.0,3.4 kg,0.007 kg,177.4,464,92.0,0,,
nan kg,5.969999999999999e+24 kg,12756.0 kg,5514,9.8,11.2,23.9,24.0,149.6,147.1,152.1,149.6,365.2,29.8,0.0 kg,0.017 kg,23.4,15,1.0,1,,
nan kg,7.3e+22 kg,3475.0 kg,3340,1.6,2.4,655.7,708.7,0.384,0.363,0.406,0.3845,27.3,1.0,5.1 kg,0.055 kg,6.7,-20,0.0,0,,
nan kg,6.42e+23 kg,6792.0 kg,3934,3.7,5.0,24.6,24.7,228.0,206.7,249.3,228.0,687.0,24.1,1.8 kg,0.094 kg,25.2,-65,0.01,2,,
nan kg,1.898e+27 kg,142984.0 kg,1326,23.1,59.5,9.9,9.9,778.5,740.6,816.4,778.5,4331.0,13.1,1.3 kg,0.049 kg,3.1,-110,,95,,
nan kg,5.68e+26 kg,120536.0 kg,687,9.0,35.5,10.7,10.7,1432.0,1357.6,1506.5,1432.05,10747.0,9.7,2.5 kg,0.052 kg,26.7,-140,,274,,
nan kg,8.68e+25 kg,51118.0 kg,1270,8.7,21.3,-17.2,17.2,2867.0,2732.7,3001.4,2867.05,30589.0,6.8,0.8 kg,0.047 kg,97.8,-195,,28,,
nan kg,1.0199999999999999e+26 kg,49528.0 kg,1638,11.0,23.5,16.1,16.1,4515.0,4471.1,4558.9,4515.0,59800.0,5.4,1.8 kg,0.01 kg,28.3,-200,,16,,
nan kg,1.3e+22 kg,2376.0 kg,1850,0.7,1.3,-153.3,153.3,5906.4,4436.8,7375.9,5906.35,90560.0,4.7,17.2 kg,0.244 kg,119.5,-225,1e-05,5,,
